feature,importance_gain,importance_split
prev_refused_AMT_PAY_YEAR_MAX,210.57749517982205,32.06666666666666
DEF_60_CNT_SOCIAL_CIRCLE,500.67803374926245,31.93333333333333
prev_recent_AMT_APPLICATION,184.43459464038412,31.666666666666664
prev_sum_CNT_PAYMENT_DIFF,299.05980969419085,31.666666666666664
AMT_CREDIT_to_prev_refused,198.53424929976464,31.6
prev_DEFALUTED_RATIO,477.874355747054,31.46666666666667
prev_active_sum_AMT_PAY_YEAR,195.74062843223413,31.4
prev_refused_AMT_CREDIT_SUM,201.56039216816424,31.266666666666662
pos_mean_SK_DPD_SCALE,274.18322018583615,31.133333333333333
cc_var_CNT_DRAWINGS_CURRENT,278.67178020874655,30.93333333333333
inst_mean_AMT_PAYMENT_DIFF,287.81795463661354,30.8
bureau_active_avg_AMT_LIMIT_RATIO,222.68689759771033,30.73333333333333
AMT_REQ_CREDIT_BUREAU_QRT,282.6530925512314,30.666666666666668
NAME_FAMILY_STATUS_income_median_rel,184.8644718810916,30.666666666666668
prev_approved_CNT_PAYMENT_SUM,198.0449752966563,30.46666666666667
CNT_CHILDREN_CLIPPED_income_median_rel,177.46886477371055,30.26666666666667
bureau_active_avg_AMT_CREDIT_MAX_OVERDUE,196.09642198383807,30.0
bureau_active_avg_AMT_ANNUITY,203.77823881308237,30.0
bureau_max_MONTH_LAST_C,228.51077611744404,30.0
bureau_count,196.05132688333592,29.93333333333333
REG_CITY_NOT_LIVE_CITY,367.01256915728254,29.666666666666668
inst_mean_AMT_PAYMENT_PERC,337.7828918680549,29.26666666666667
cc_mean4_AMT_DRAWINGS_ATM_CURRENT,313.8999843299389,29.0
prev_closest_annuity_defaulted,620.4976069430511,28.666666666666664
cc_mean4_CNT_DRAWINGS_CURRENT,241.97240107655526,28.46666666666667
inst_max_AMT_PAYMENT_DIFF,273.5296207050482,28.46666666666666
prev_active_sum_AMT_DIFF_CREAPP,218.4781031211217,28.2
prev_active_sum_AMT_DIFF_CREDIT_GOODS,218.93947133620583,28.066666666666663
bureau_sum_CREDIT_CURRENCY_currency_1,189.61655046443144,28.0
inst_N_NUM_INSTALMENT_VERSION,185.1235937356949,27.866666666666667
prev_refused_AMT_ANNUITY_MAX,172.3671874495844,27.733333333333338
bureau_recent_AMT_ANNUITY,148.99704342087108,27.6
bureau_recent_CREDIT_TYPE,178.15518181125324,27.2
prev_refused_AMT_PAY_YEAR_MEAN,159.4755906691154,27.06666666666667
inst_var_AMT_PAYMENT_PERC,199.76730640530587,26.866666666666664
prev_refused_AMT_CREDIT_MEAN,157.63260477781296,26.733333333333338
prev_sum_NAME_YIELD_GROUP_low_action,360.6918935398261,26.73333333333333
prev_recent_DAYS_LAST_DUE,165.7515789439281,26.73333333333333
